id,SquareFeet,Bedrooms,Bathrooms
1,2126,4,1
2,2459,3,2
3,1860,2,1
4,2294,2,1
5,2130,5,2
6,2095,2,3
7,2724,2,1
8,2044,4,3
9,2638,4,3
10,1121,5,2
11,1466,5,3
12,2238,3,3
13,1330,2,2
14,2482,4,3
15,1087,4,1
16,2396,2,2
17,2123,5,2
18,1871,4,2
19,2687,5,1
20,1130,4,3
21,2685,4,3
22,2332,3,3
23,1769,4,1
24,1343,2,3
25,2515,2,3
26,2437,2,1
27,1805,5,1
28,1385,4,3
29,2215,5,1
30,1955,3,1
31,1276,4,1
32,2184,2,2
33,1459,3,2
34,2337,3,3
35,1021,4,3
36,1252,2,1
37,1747,5,3
38,1856,4,2
39,2584,2,3
40,1474,3,3
41,2082,4,2
42,1510,3,2
43,2705,2,1
44,2499,5,1
45,1699,5,1
46,1975,3,3
47,2806,3,3
48,1189,3,3
49,1957,4,2
50,1686,2,3
51,1957,3,2
52,1562,3,3
53,2899,3,3
54,2590,5,2
55,2267,3,2
56,1831,2,2
57,2528,5,1
58,2154,2,1
59,2508,5,3
60,2842,5,3
61,1646,4,3
62,1020,5,1
63,1840,5,3
64,1166,2,2
65,2297,2,2
66,1387,3,1
67,1600,4,2
68,1315,5,2
69,1013,4,3
70,1241,3,2
71,1776,4,2
72,2369,5,1
73,1564,2,2
74,1897,4,2
75,2363,5,3
76,1091,3,3
77,2390,5,3
78,1955,4,1
79,2478,5,3
80,2451,5,2
81,1508,4,1
82,1775,4,2
83,2966,3,2
84,1034,5,3
85,1205,2,1
86,2104,4,1
87,2955,5,3
88,2585,2,1
89,2895,2,2
90,2411,5,1
91,2025,5,2
92,2021,5,1
93,2413,2,1
94,1565,5,3
95,2129,4,3
96,2795,2,1
97,2845,4,2
98,2500,4,3
99,1702,5,3
100,1401,4,3
101,1729,5,1
102,2579,2,2
103,1161,4,2
104,1201,5,1
105,2981,3,2
106,1995,5,3
107,1269,3,2
108,2886,5,3
109,1815,3,3
110,2294,4,1
111,1455,3,3
112,2485,4,2
113,2750,4,2
114,2275,5,2
115,2016,4,2
116,2725,2,2
117,1295,3,3
118,2748,5,1
119,1719,4,1
120,2772,3,2
121,1337,3,3
122,1878,2,1
123,2076,3,2
124,1791,5,3
125,2945,5,1
126,1216,4,3
127,1763,4,2
128,1187,5,3
129,1379,3,1
130,1492,3,1
131,2064,2,3
132,2180,4,1
133,1014,3,3
134,2836,3,3
135,1064,4,2
136,2880,5,2
137,2862,3,3
138,1520,2,1
139,2367,3,2
140,2152,3,1
141,1647,2,3
142,2495,5,1
143,2086,2,1
144,2162,2,3
145,2522,4,2
146,1592,3,2
147,1391,5,1
148,2698,3,3
149,1418,5,3
150,1288,2,2
151,1378,4,3
152,2796,2,3
153,2513,3,1
154,1230,4,1
155,2017,4,2
156,1040,3,2
157,2051,5,1
158,1134,4,3
159,1200,5,3
160,2863,5,1
161,1779,5,1
162,1929,4,1
163,2056,2,1
164,2071,4,3
165,1502,2,3
166,1406,4,2
167,2597,2,1
168,2751,2,2
169,1804,4,3
170,1098,5,2
171,1683,5,3
172,2895,2,3
173,1725,3,2
174,2570,3,2
175,1960,4,1
176,2762,4,3
177,1612,4,1
178,2966,3,1
179,2485,5,3
180,1642,4,2
181,2792,4,1
182,2028,5,1
183,2241,2,3
184,1502,4,2
185,1766,3,2
186,1397,3,1
187,1870,4,3
188,1794,3,1
189,1392,5,2
190,1206,2,1
191,2038,2,3
192,2881,4,1
193,2577,4,2
194,1891,2,3
195,2484,2,3
196,2714,4,3
197,2598,3,3
198,1863,4,3
199,1742,5,1
200,2264,4,3
201,1563,4,2
202,2020,4,3
203,1095,4,2
204,2923,4,2
205,2757,4,2
206,1484,3,2
207,2430,4,2
208,1230,2,1
209,1748,4,2
210,2678,3,2
211,2194,5,2
212,1540,2,1
213,2059,4,3
214,1524,4,2
215,2183,2,1
216,2862,4,1
217,2722,3,1
218,2266,4,3
219,2109,5,1
220,2819,3,2
221,1577,4,2
222,1681,5,2
223,1556,2,3
224,2597,3,1
225,2976,4,2
226,2012,4,2
227,1645,2,2
228,1795,2,3
229,2051,3,2
230,2643,3,1
231,2579,3,1
232,2363,4,3
233,2821,4,3
234,2981,3,3
235,2354,4,1
236,2663,2,3
237,2529,5,3
238,2371,4,1
239,2496,3,2
240,2254,4,3
241,1189,2,2
242,2248,3,2
243,2408,5,2
244,2400,3,2
245,2306,3,3
246,2981,3,3
247,1632,4,3
248,1627,5,1
249,1972,2,1
250,2768,4,2
251,2282,5,1
252,2382,5,2
253,1709,4,2
254,2479,3,3
255,2434,5,3
256,1648,2,1
257,1317,4,3
258,2700,5,1
259,2248,2,3
260,2842,2,3
261,2257,2,1
262,1683,2,2
263,1663,4,1
264,2998,2,3
265,2850,4,2
266,2397,2,3
267,2695,2,3
268,2631,4,3
269,2495,3,2
270,2256,5,3
271,2715,5,1
272,2136,4,1
273,2853,2,1
274,2520,4,2
275,1441,2,1
276,1563,4,3
277,2291,5,2
278,2533,4,3
279,2830,5,3
280,2409,5,3
281,2410,5,1
282,2136,4,1
283,2636,3,2
284,2648,4,2
285,1951,4,1
286,2104,3,1
287,1698,3,3
288,1112,5,1
289,1001,2,3
290,1641,2,1
291,1219,5,3
292,2589,4,1
293,1854,2,1
294,2759,4,2
295,2248,3,2
296,1384,3,3
297,2426,5,2
298,2661,4,2
299,2153,5,1
300,2076,2,3
301,2707,2,2
302,1729,2,2
303,2695,4,1
304,2733,5,1
305,2439,5,1
306,1246,2,3
307,1835,5,1
308,2462,3,3
309,1202,3,1
310,2207,3,2
311,1122,3,3
312,1400,5,1
313,1766,3,1
314,1293,3,2
315,1279,3,2
316,2860,3,2
317,1883,3,1
318,2633,4,2
319,1197,4,2
320,1981,3,3
321,2930,3,3
322,2534,5,3
323,1751,3,1
324,1143,2,3
325,1608,4,1
326,2224,3,2
327,2147,4,1
328,1186,3,1
329,2349,2,2
330,1463,3,3
331,2372,4,3
332,2794,4,3
333,1659,4,2
334,1763,5,1
335,1954,4,2
336,2955,3,2
337,1402,2,2
338,2369,2,2
339,2986,3,1
340,2534,5,3
341,1146,3,3
342,2171,4,2
343,1863,5,1
344,2734,3,2
345,2843,5,1
346,1488,2,2
347,1928,3,3
348,2959,3,3
349,2663,2,2
350,1550,5,3
351,1337,2,2
352,1871,5,1
353,1640,3,1
354,2802,5,1
355,2976,5,1
356,1472,4,2
357,2969,4,3
358,1150,4,1
359,2438,2,3
360,2321,2,2
361,2634,4,3
362,1262,3,3
363,2787,3,3
364,1143,3,2
365,1345,2,2
366,1623,5,2
367,2016,2,3
368,2595,4,1
369,1880,5,1
370,1001,3,3
371,1896,2,1
372,2327,2,1
373,1253,4,3
374,2675,3,2
375,1452,2,1
376,2060,2,2
377,2183,5,1
378,2014,2,3
379,1008,5,3
380,2256,2,2
381,2122,3,2
382,2682,4,2
383,1815,3,2
384,1207,4,3
385,2154,2,3
386,1403,3,3
387,1151,5,2
388,1053,4,3
389,2143,4,3
390,2696,2,1
391,2943,4,1
392,1627,4,1
393,1586,4,2
394,2648,2,2
395,2991,3,3
396,2443,2,3
397,2445,5,2
398,1103,4,1
399,2875,4,3
400,1253,3,1
401,2250,4,3
402,2135,3,1
403,1509,4,3
404,2496,4,1
405,1098,2,1
406,1152,2,2
407,2884,5,3
408,1913,3,1
409,2919,5,2
410,1877,2,3
411,1337,3,2
412,2729,2,1
413,1821,3,3
414,2186,4,1
415,2743,5,1
416,1956,5,2
417,2704,3,1
418,1160,5,3
419,2603,2,2
420,1800,5,1
421,1397,3,1
422,2300,5,1
423,1815,5,2
424,2939,2,3
425,2527,4,2
426,2919,2,1
427,2415,5,2
428,2158,5,1
429,2218,4,2
430,1400,4,1
431,1639,2,2
432,2056,4,1
