id,Neighborhood,YearBuilt,Price
1,Rural,1969,215355.2836
2,Rural,1980,195014.2216
3,Suburb,1970,306891.0121
4,Urban,1996,206786.7872
5,Suburb,2001,272436.2391
6,Suburb,2020,198208.8039
7,Suburb,1993,343429.3191
8,Rural,1957,184992.3213
9,Urban,1959,377998.5882
10,Urban,2004,95961.92601
11,Suburb,1951,191113.7687
12,Suburb,1987,253358.645
13,Suburb,1992,132172.3926
14,Suburb,1989,231157.0277
15,Urban,1976,118393.8232
16,Suburb,1993,267377.3997
17,Rural,1956,190773.1486
18,Suburb,1977,172989.8049
19,Urban,1979,239222.6678
20,Rural,1962,143050.2018
21,Urban,1999,405523.8283
22,Rural,1978,263954.1541
23,Suburb,1963,148310.6202
24,Rural,2013,151733.9225
25,Urban,2013,307961.1074
26,Rural,2004,276162.8618
27,Rural,2002,243985.2055
28,Rural,1996,88030.54185
29,Urban,1952,282908.9817
30,Rural,2014,240976.5518
31,Rural,1965,104747.3346
32,Suburb,1959,347207.3896
33,Rural,2006,77493.93144
34,Suburb,2008,331851.0817
35,Rural,2013,110408.6708
36,Urban,1993,127932.7568
37,Rural,1982,228683.227
38,Rural,1959,124711.7079
39,Suburb,2001,415850.7708
40,Urban,1959,184819.9612
41,Suburb,1966,164855.9878
42,Suburb,2002,156928.0147
43,Urban,1971,282457.8614
44,Urban,2021,287591.6728
45,Rural,1960,156313.5942
46,Suburb,2016,279764.371
47,Suburb,1962,366494.4806
48,Urban,2007,244539.2817
49,Rural,1994,239299.9945
50,Urban,1994,249148.3447
51,Rural,1992,304197.5798
52,Rural,2013,89378.55062
53,Rural,1988,427295.4046
54,Suburb,1957,328501.8015
55,Urban,1989,215867.419
56,Rural,2000,190058.8929
57,Urban,1969,259751.1544
58,Rural,2015,166810.3887
59,Suburb,2007,352932.1625
60,Urban,2014,422042.9185
61,Suburb,1994,91423.61965
62,Rural,1983,220053.8604
63,Suburb,1961,216148.2085
64,Suburb,1972,161587.1537
65,Urban,2017,194967.9095
66,Rural,2002,152828.7203
67,Rural,2002,256725.9809
68,Suburb,1989,98039.3031
69,Urban,2002,164858.1869
70,Urban,1985,199373.1821
71,Urban,2014,181245.4467
72,Suburb,1963,209700.7185
73,Rural,1983,163053.3921
74,Rural,1975,304004.6899
75,Urban,2004,308830.9397
76,Urban,2012,194294.0018
77,Urban,2019,172777.3198
78,Suburb,1995,197656.0703
79,Urban,1986,273365.4991
80,Rural,1972,216047.2181
81,Urban,1965,149586.1531
82,Suburb,1981,214171.0822
83,Rural,1956,277419.0002
84,Rural,1993,117295.3752
85,Urban,1996,180760.8675
86,Suburb,1954,202715.1601
87,Rural,2012,378403.571
88,Suburb,1961,257776.0924
89,Suburb,2021,266046.8779
90,Rural,1958,337645.6762
91,Rural,1993,240145.9703
92,Suburb,1971,92641.62211
93,Urban,1995,152037.8828
94,Rural,1957,149848.6164
95,Urban,2005,220384.4345
96,Rural,1977,305658.5639
97,Urban,1996,318297.2566
98,Rural,1984,230749.2763
99,Urban,1970,201925.8409
100,Suburb,1982,149576.6811
101,Rural,2019,171877.0663
102,Urban,1997,245276.7339
103,Suburb,2003,288571.1272
104,Urban,1951,87804.56037
105,Rural,1982,267127.0106
106,Suburb,1965,221217.7693
107,Suburb,1999,218784.633
108,Rural,1969,315607.0238
109,Urban,2016,217967.9285
110,Rural,1994,353343.634
111,Urban,1984,187002.9639
112,Rural,1978,222855.0833
113,Rural,1994,366548.8223
114,Rural,1964,259473.2793
115,Urban,1952,212440.4224
116,Urban,2018,237066.6856
117,Urban,1983,158357.6481
118,Suburb,2020,255619.9978
119,Suburb,1953,190659.435
120,Urban,1968,284985.4357
121,Urban,1970,214741.2285
122,Suburb,1964,128693.0288
123,Rural,1966,184051.9827
124,Rural,2003,242865.2602
125,Urban,1986,295356.7755
126,Rural,2003,107868.9321
127,Urban,1971,207380.1361
128,Suburb,1957,132828.8141
129,Urban,1960,84493.69131
130,Suburb,2019,53360.86541
131,Rural,1958,296199.3496
132,Urban,1951,273924.5574
133,Urban,1981,204340.7259
134,Urban,2000,228582.097
135,Suburb,1986,237384.3466
136,Rural,1955,312245.868
137,Urban,1961,219408.625
138,Rural,2003,201334.9416
139,Suburb,1995,221413.5776
140,Rural,1982,306839.6219
141,Urban,1967,126756.3572
142,Urban,1987,328702.8347
143,Suburb,2008,141074.0284
144,Rural,1956,220712.4613
145,Urban,1964,319176.8399
146,Suburb,1950,245299.2099
147,Rural,1995,51154.13113
148,Urban,1981,314018.0283
149,Suburb,1998,222904.258
150,Suburb,1959,115697.7782
151,Suburb,1966,140714.7704
152,Suburb,1969,178353.1481
153,Suburb,2000,280022.0311
154,Rural,1971,136418.4808
155,Urban,1969,195803.9703
156,Rural,2014,98933.43907
157,Suburb,1953,185052.5632
158,Urban,2003,160764.4394
159,Suburb,2014,156394.2735
160,Suburb,2000,333464.149
161,Urban,1960,211994.3282
162,Rural,1976,252779.6909
163,Urban,1975,288750.4043
164,Rural,1966,185482.0606
165,Suburb,1991,119671.3689
166,Suburb,1997,148891.4193
